fiscal_year,fiscal_period,cik,filed,rd_expense,z_score,symbol
2018,FY,320193,2018-11-05,35862000000,-0.7071067811865475,AAPL
2018,FY,789019,2018-08-03,39751000000,0.7071067811865475,MSFT
2018,Q1,320193,2018-02-02,6278000000,-0.7071067811865475,AAPL
2018,Q1,789019,2017-10-26,6680000000,0.7071067811865475,MSFT
2018,Q2,320193,2018-05-02,18586000000,-0.7071067811865476,AAPL
2018,Q2,789019,2018-01-31,19812000000,0.7071067811865476,MSFT
2018,Q3,320193,2018-08-01,25708000000,-0.7071067811865475,AAPL
2018,Q3,789019,2018-04-26,27386000000,0.7071067811865475,MSFT
2019,FY,320193,2019-10-31,42034000000,-0.7071067811865476,AAPL
2019,FY,789019,2019-08-01,44639000000,0.7071067811865476,MSFT
2019,Q1,320193,2019-01-30,7309000000,-0.7071067811865476,AAPL
2019,Q1,789019,2018-10-24,7551000000,0.7071067811865476,MSFT
2019,Q2,320193,2019-05-01,21961000000,-0.7071067811865475,AAPL
2019,Q2,789019,2019-01-30,22699000000,0.7071067811865475,MSFT
2019,Q3,320193,2019-07-31,30551000000,-0.7071067811865476,AAPL
2019,Q3,789019,2019-04-24,31187000000,0.7071067811865476,MSFT
2020,FY,320193,2020-10-30,49205000000,-0.7071067811865476,AAPL
2020,FY,789019,2020-07-31,50871000000,0.7071067811865476,MSFT
2020,Q1,320193,2020-01-29,8353000000,-0.7071067811865475,AAPL
2020,Q1,789019,2019-10-23,8542000000,0.7071067811865475,MSFT
2020,Q2,320193,2020-05-01,25379000000,-0.7071067811865476,AAPL
2020,Q2,789019,2020-01-29,25888000000,0.7071067811865476,MSFT
2020,Q3,320193,2020-07-31,34896000000,-0.7071067811865476,AAPL
2020,Q3,789019,2020-04-29,35621000000,0.7071067811865476,MSFT
2021,FY,320193,2021-10-29,56883000000,0.7071067811865475,AAPL
2021,FY,789019,2021-07-29,56861000000,-0.7071067811865475,MSFT
2021,Q1,320193,2021-01-28,9614000000,0.7071067811865475,AAPL
2021,Q1,789019,2020-10-27,9491000000,-0.7071067811865475,MSFT
2021,Q2,320193,2021-04-29,29268000000,0.7071067811865476,AAPL
2021,Q2,789019,2021-01-26,28495000000,-0.7071067811865476,MSFT
2021,Q3,320193,2021-07-28,40391000000,0.7071067811865476,AAPL
2021,Q3,789019,2021-04-27,39175000000,-0.7071067811865476,MSFT
2022,FY,320193,2022-10-28,66917000000,0.7071067811865475,AAPL
2022,FY,789019,2022-07-28,64497000000,-0.7071067811865475,MSFT
2022,Q1,320193,2022-01-28,11469000000,0.7071067811865475,AAPL
2022,Q1,789019,2021-10-26,10525000000,-0.7071067811865475,MSFT
2022,Q2,320193,2022-04-29,34767000000,0.7071067811865476,AAPL
2022,Q2,789019,2022-01-25,31839000000,-0.7071067811865476,MSFT
2022,Q3,320193,2022-07-29,48146000000,0.7071067811865476,AAPL
2022,Q3,789019,2022-04-26,44202000000,-0.7071067811865476,MSFT
